Accession,Control-1,Control-2,Control-3,Treat2-1,Treat2-2
B3KU62,-0.588128501,-0.643427804,-0.226605553,0.200463659,0.36492913
Q9HBL7,-0.512521551,-0.367211758,-0.27387698,0.320262699,0.662004705
P42025,0.020966722,-0.091404451,-0.15710433,0.211831259,0.246663558
P10114,-0.425848482,-0.172020756,-0.120679917,0.35278548,0.241422573
P14618,-0.34570776,-0.045719564,-0.111577302,0.295057506,0.32824061
H3BQD2,-0.524558929,-0.547632059,-0.164676335,0.3487752,0.224407202
P36957,-0.288408662,-0.298568833,-0.141026347,0.041083849,0.062602818
Q8N1G0,-0.095449531,-0.127143726,-0.016318517,0.191304885,0.338641736
Q03113,-0.282375887,-0.246231727,-0.128670616,0.246507184,0.097266806
A8K3N2,-0.075616082,-0.016724456,-0.226380273,0.26578812,0.217981494
Q4LE74,-0.194130948,-0.067966308,-0.03416884,0.18099859,0.285805171
A0A024R5S9,-0.146175783,-0.389993471,-0.235866152,0.10947302,0.138980734
Q9Y3A6,-0.302638661,-0.178318823,-0.066743158,0.180583896,0.186232645
A0A024R223,-0.101948682,-0.131214351,0.014842215,0.220305333,0.1705985
Q6UWE0,-0.172975927,-0.181216475,0.015964616,0.241421963,0.350243921
B4E054,-0.264306926,-0.168055223,-0.20854357,0.082017918,0.264224688
P46940,-0.281354333,-0.141298437,-0.194463242,0.039897906,0.144534614
B7Z341,-0.241060021,-0.053158761,-0.010023576,0.349674047,0.562020683
P13674,-0.334208299,-0.395328211,-0.193713029,0.140255382,0.022867409
J3KMY5,-0.513633335,-0.606068884,-0.59556165,-0.221261315,-0.001499409
H7C4I6,-0.396739709,-0.114543361,-0.241954245,0.177522301,0.160713301
B7ZBC8,-0.033738626,-0.254761756,-0.08639208,0.20703474,0.248362923
A8K7F3,0.057568719,-0.065402759,-0.153975211,0.277364572,0.39258572
P09341,-0.355883394,-0.32587524,-0.254402366,0.476670365,0.907585876
P48723,-0.340361421,-0.218872811,-0.172974356,0.20655713,0.060539442
Q9NPJ3,-0.477271515,-0.298442187,-0.219332111,0.423035847,0.169297111
I3NI32,-0.077621448,-0.168906942,-0.030102459,0.128551291,0.214466072
Q06210,-0.060667292,0.082060759,-0.047860472,0.28494556,0.226940486
P19876,-1.843861506,-1.754621477,-0.484590301,0.938477551,1.614353428
A0A0S2Z5F9,-0.247483607,-0.335894332,-0.019155712,0.335127197,0.574362093
P08476,-0.287321309,-0.587882619,-0.119964811,0.268370647,0.367543067
B4DV28,-0.294542288,-0.290008968,-0.096202203,0.231116862,0.113729687
Q8IVH4,-0.068496658,-0.325303693,-0.020107412,0.297081023,0.405596971
P07355,-0.614631168,-0.629997401,-0.326014245,0.045056956,-0.051355394
Q9UKK9,-0.277668296,-0.30588698,-0.224439796,0.085417153,0.332553197
P60903,-1.101598582,-0.940859712,-0.488761694,-0.000402838,-0.036450122
Q5T123,-0.267107862,-0.199129664,-0.092231089,0.157860109,0.356053646
P21796,-0.311225652,-0.151377383,-0.232657883,0.038981711,0.178650031
Q6MZG5,-0.321671207,-0.127089428,-0.147070174,0.183856258,0.096748582
Q9HAV7,-0.436528252,-0.416920184,-0.177489518,0.085062092,0.058326487
B4DRW0,-0.118384431,-0.225993097,0.000295553,0.249878188,0.434622071
C9JA29,-0.271545449,0.054518043,-0.321193499,0.457198861,0.751919876
B4DUD8,-0.396504451,-0.277669313,-0.125180761,0.095786207,0.159145181
Q12802,-0.487514347,-0.437160223,-0.242038803,0.006088112,0.189547216
