name	QC-1	QC-2	QC-3	QC-4	QC-5
M380T399	1366.382889	817.6602632	1704.0387	1505.119333	876.678
M280T673	3728.791476	1599.0975	3462.095616	3223.914176	4323.056063
M476T668	1378.23508	1149.897133	1843.464805	1164.174667	767.8475
M783T329	2913.65881	5633.209351	7849.94588	6386.581	6332.351256
M258T308	1865.603667	965.459	1192.335829	2003.733333	1242.3675
M520T669	2952.011542	3226.260375	5318.426812	3380.514773	5683.665297
M654T321	7483.844586	4195.191	10932.62714	7782.767742	8865.888353
M1000T348	2910.915273	4651.539594	2492.232933	2365.203774	2630.651258
M243T680	786.0527832	455.7744	747.87664	427.18	443.6444444
M638T564	523.2632143	589.33	999.4472727	590.5980682	519.7168256
M411T864	263.989782	303.7679251	229.4470729	353.2845962	492.9036793
M238T433	3005.034651	2544.85272	1787.374	1442.285524	1690.367391
M284T78	2977.829167	4684.18777	4194.005864	2287.529071	2566.632
M1041T351	2169.966462	1766.471	2743.024177	3293.784	3951.921809
M541T606	3336.517964	2905.40979	2485.723966	1564.336429	1741.277333
M415T176	39484.67277	21102.74632	22409.53133	25869.39075	19602.97776
M340T848	2454.1	2556.757933	1172.844563	1467.963158	2231.246909
M550T73	708.3233333	988.6945284	1568.713879	1014.9125	1475.228638
M675T875	405.1985532	426.9079688	276.8752645	423.2507179	656.9001617
M321T87	697.5692308	877.7018182	1559.018	1421.154875	1291.269636
M492T87_1	3889.36	2802.99625	5586.550565	2955.501	3110.54975
M136T684	2498.469779	2365.822266	2404.301758	929.5515	2342.768537
M116T91	5998.970947	9277.347	6013.611552	3990.150889	5481.354064
M706T556	602.9018555	1572.67275	1435.787692	1614.316154	1552.708333
M145T73	3813.227438	4492.77765	3714.671571	1608.761063	3849.274933
M181T206	14099.26611	8269.669633	6739.8075	7528.140077	9710.584667
M276T85	2682.091088	1992.711125	2090.37289	973.444	2169.529004
M336T89	2002.957875	3996.510882	5345.177505	4601.863821	4966.22803
M204T708	1766.20362	2267.310983	3645.159224	2144.979144	1977.046201
M269T652	433.4595337	349.6434326	366.6395874	707.105	435.5516968
M416T665_2	98.9155453	213.0984246	197.06132	117.0334396	188.5489143
M395T666	10562.5975	10017.12424	11121.85013	10977.10133	4140.293182
M439T464	760.654096	424.895667	466.1526137	722.3272564	392.0241907
M272T74	1054.120667	775.9111111	717.6104595	531.9218182	490.4352041
M130T158	112770.0192	58196.2111	68043.88125	115993.2451	123394.1606
M123T102	5856.662024	8542.541768	4501.848	6610.658645	10216.04846
M415T535	91.99983938	110.6173867	203.3131071	146.770517	125.8941265
M311T375	1622.290741	3469.550033	4289.591508	3128.776313	2893.953688
M615T665	11036.527	8857.3277	4389.524211	8182.669	6744.601226
M1080T608	420.6131641	325.8287659	335.632207	670.0499674	512.9235132
M700T606	462.71745	707.7774773	555.6445263	1030.144037	855.7712857
M332T871	779.7949219	400.82368	484.3291875	555.6864624	853.919492
M469T666	13391.11411	5649.478263	11078.64152	9372.190098	7736.122167
M403T89_1	4490.89425	4874.610741	3412.890909	1880.709182	4363.991893
M459T88_2	1598.81	3388.041364	3039.533537	2164.538357	1896.093333
M611T348	3736.699585	3606.38485	4830.065864	6535.145574	3066.83875
M365T604	1000.987762	1079.278076	2035.261591	1426.745031	1139.455545
M285T818	1744.4511	1578.7195	2021.100654	1873.3455	739.62075
M296T62	3355.872794	2080.820524	1905.408333	1693.716	1770.596371
M370T317	2753.442765	6465.36345	6834.991947	6473.201333	4669.068045
M909T346	4597.044553	6324.397296	6414.623087	3154.559781	3536.661242
M172T89	3092.844834	1744.668154	2980.523571	1436.5025	2299.692375
M153T464	2722.549654	2679.072	3538.299111	5162.421558	2725.297217
M428T65	1774.394615	1363.559538	1698.43575	725.1244444	1905.88
M153T402_1	1608.210481	1073.776667	886.3425	1744.882391	942.890125
M423T319	3831.90885	5921.765394	4591.5705	2339.615385	5352.923931
M194T597	4664.45122	2302.863136	2818.473235	4613.333437	2911.558848
M416T752	487.7464676	735.3287857	427.5462727	744.38	951.4333333
M245T564	1889.2415	811.1087333	2155.8445	2229.835895	1995.728
M480T566	1435.201818	1247.801423	1569.191296	625.817	1002.692308
M272T313_2	6878.139882	5447.055769	7266.98232	3196.23125	8314.584961
M295T83	2102.67	2567.151111	2523.904	2982.3922	4514.742
M360T62	1337.705556	1129.059643	1196.142316	1127.443355	472.63
M233T107	4768.556667	9839.025575	9257.052973	5206.251955	9064.556803
M315T74	9422.482786	9822.969	8215.71856	6001.74375	4156.352308
M102T124	8750.18496	7338.88136	8585.049849	8078.510623	3208.717838
M134T435	643.572	1233.970424	995.3223077	559.8	1064.295
M242T577	713.4400228	1458.648333	1841.893176	1157.1885	1546.23
M301T818	299.7127959	265.0093271	266.7304145	526.8853044	352.2674723
M422T833	995.106	1071.8737	1587.860119	817.86915	739.7205882
M190T201	20404.39076	15340.54732	19324.76296	30806.96597	32584.10663
M121T214	964.8514286	2552.272333	2344.858381	2682.340381	2215.957414
M225T665	7727.449455	8507.355745	3564	8620.1305	5620.011462
M219T867	645.6342872	399.0889079	482.4578247	904.6522793	587.5469699
M303T102	10937.24861	8012.15625	6976.03725	6818.234032	13704.73035
M610T348	6595.179868	7267.511429	4386.572222	9870.655811	10380.26333
M137T622	54977.19857	57353.72356	41228.43584	23177.931	38886.92136
M183T150	14313.82941	11758.75204	11448.47442	17839.87895	6994.615
M185T662	37529.94958	31045.30279	32242.96136	18765.29514	17650.92496
M631T607_2	9710.884167	12086.93377	11346.53813	20647.90301	12691.78185
M88T381	1920.996357	1768.4775	2652.353733	1788.852214	1005.360714
M468T237	1629.706883	960.862359	1306.642652	733.7004	1632.874489
M1143T350	4407.605854	3057.422809	3898.786621	5102.607792	7042.416919
M563T769	829.0687	1451.201538	684.8502419	966.285	1390.745923
M164T777	1131.312158	1482.445536	1674.25965	894.728	2088.001915
M1138T756	451.3322347	260.9050369	188.3701706	300.4824083	297.68
M111T139	109134.3367	40327.5775	93257.1958	100237.9306	78290.443
M597T78	861.6159058	860.0424408	1274.8086	887.807579	482.8509091
M347T205	1837.122537	2045.979077	2191.248145	775.1812857	1882.023078
M249T71	4663.488783	4836.816378	4829.095263	1821.725533	3840.844966
M422T326	7263.288964	4310.241167	3373.057267	5284.85153	7366.746054
M306T556	5785.642452	5553.130781	10461.44229	7066.054545	5074.045217
M317T387	1175.941504	1144.309131	457.3028571	1180.831636	1305.834598
M819T324	34589.32181	46515.28933	26575.74127	34340.61913	18750.59476
M491T601	944.1825857	1319.008885	1421.377338	1361.429206	569.8489286
M349T764	1295.255348	1379.5251	720.41	843.78	1618.765
M86T900	7107.959544	4258.5123	5066.439687	4972.822875	2796.693529
M258T70	1203.53	1813.773109	2628.988063	3016.789759	2430.152345
M218T584	926.7260769	1338.764636	1037.517143	1839.257629	913.5245625
M290T653	611.685	383.4279167	263.5356293	357.188118	375.92225
M122T534	1205.45095	1994.124107	2848.006245	1537	2201.069111
M151T129	29272.16857	14948.32255	15754.56423	25201.969	16127.68778
M253T89	2247.932606	1755.22	3392.82	1503.423333	2392.3308
M692T252	3039.568699	3162.617697	1853.190783	4126.891162	2058.122
M472T348	2961.392	1582.064263	2935.635938	2510.689668	4107.412556
M311T328	2643.465	5593.180664	5144.740545	6420.634258	7282.2316
M520T355	12984.60294	16516.39535	16702.77417	26208.79114	27528.03817
M393T375	1154.921107	836.8831818	1091.550038	1353.669565	521.95
M447T346	12969.56603	7854.456	15127.12392	13092.96997	6836.516967
M793T88	3986.5644	6539.270522	6265.369488	3391.608	7648.4946
M251T1226	30376.49544	32339.42551	37820.70167	32154.8659	60449.01293
M426T88	3719.270782	2697.363983	1441.56	3247.80407	2351.454973
